record_id,species,ifbluurhok,year,exclusion_reason
185,Amanita citrina,d7-41-12,NA,year_missing_or_unparseable
203,Amanita citrina,d6-46-23,NA,year_missing_or_unparseable
376,Amanita citrina,d5-45-31,NA,year_missing_or_unparseable
377,Amanita citrina,e5-13-34,NA,year_missing_or_unparseable
466,Amanita citrina,e3-12-0,NA,year_missing_or_unparseable
467,Amanita citrina,d3-24-0,NA,year_missing_or_unparseable
468,Amanita citrina,d2-38-0,NA,year_missing_or_unparseable
470,Amanita citrina,d6-41-0,NA,year_missing_or_unparseable
550,Amanita citrina,e2-28-0,NA,year_missing_or_unparseable
593,Amanita citrina,j6-22-20,NA,year_missing_or_unparseable
594,Amanita citrina,j5-58-31,NA,year_missing_or_unparseable
595,Amanita citrina,j6-54-31,NA,year_missing_or_unparseable
596,Amanita citrina,j6-54-10,NA,year_missing_or_unparseable
597,Amanita citrina,j6-35-10,NA,year_missing_or_unparseable
715,Amanita citrina,j5-57-42,NA,year_missing_or_unparseable
716,Amanita citrina,j6-41-30,NA,year_missing_or_unparseable
717,Amanita citrina,j6-52-10,NA,year_missing_or_unparseable
718,Amanita citrina,j5-58-11,NA,year_missing_or_unparseable
719,Amanita citrina,j5-58-14,NA,year_missing_or_unparseable
720,Amanita citrina,j6-47-43,NA,year_missing_or_unparseable
721,Amanita citrina,j6-34-0,NA,year_missing_or_unparseable
1144,Amanita citrina f. alba,d5-45-31,NA,year_missing_or_unparseable
1292,Amanita citrina f. alba,j6-52-10,NA,year_missing_or_unparseable
1293,Amanita citrina f. alba,j6-22-20,NA,year_missing_or_unparseable
1294,Amanita citrina f. alba,j6-54-31,NA,year_missing_or_unparseable
1365,Amanita citrina f. alba,j5-57-0,NA,year_missing_or_unparseable
1592,Amanita crocea,j6-47-43,NA,year_missing_or_unparseable
1593,Amanita crocea,g7-13-0,NA,year_missing_or_unparseable
1617,Amanita echinocephala,j6-34-40,NA,year_missing_or_unparseable
1618,Amanita echinocephala,j6-15-10,NA,year_missing_or_unparseable
1623,Amanita echinocephala,e4-38-0,NA,year_missing_or_unparseable
1624,Amanita echinocephala,d5-51-0,NA,year_missing_or_unparseable
1637,Amanita eliae,j5-58-31,NA,year_missing_or_unparseable
1641,Amanita eliae,a0-00-0,NA,year_missing_or_unparseable
1895,Amanita excelsa,j6-25-30,NA,year_missing_or_unparseable
1896,Amanita excelsa,j6-54-31,NA,year_missing_or_unparseable
1998,Amanita excelsa,j6-52-10,NA,year_missing_or_unparseable
1999,Amanita excelsa,j5-58-14,NA,year_missing_or_unparseable
2000,Amanita excelsa,j6-47-43,NA,year_missing_or_unparseable
2155,Amanita franchetii,e5-33-31,NA,year_missing_or_unparseable
2160,Amanita franchetii,d3-42-0,NA,year_missing_or_unparseable
2162,Amanita franchetii,j5-58-14,NA,year_missing_or_unparseable
2237,Amanita fulva,a5-45-43,NA,year_missing_or_unparseable
2368,Amanita fulva,d5-45-31,NA,year_missing_or_unparseable
2420,Amanita fulva,d6-36-44,NA,year_missing_or_unparseable
2580,Amanita fulva,j6-54-31,NA,year_missing_or_unparseable
2581,Amanita fulva,j6-25-30,NA,year_missing_or_unparseable
2697,Amanita fulva,j6-52-10,NA,year_missing_or_unparseable
2698,Amanita fulva,j5-58-14,NA,year_missing_or_unparseable
2699,Amanita fulva,j6-47-43,NA,year_missing_or_unparseable
3270,Amanita lividopallescens,j6-25-30,NA,year_missing_or_unparseable
3271,Amanita lividopallescens,j6-33-21,NA,year_missing_or_unparseable
3274,Amanita lividopallescens,g7-13-0,NA,year_missing_or_unparseable
3370,Amanita muscaria,a5-45-43,NA,year_missing_or_unparseable
3526,Amanita muscaria,d5-45-31,NA,year_missing_or_unparseable
3632,Amanita muscaria,c6-15-43,NA,year_missing_or_unparseable
3655,Amanita muscaria,e5-43-12,NA,year_missing_or_unparseable
3663,Amanita muscaria,c3-52-13,NA,year_missing_or_unparseable
3685,Amanita muscaria,c3-52-0,NA,year_missing_or_unparseable
3686,Amanita muscaria,d2-16-14,NA,year_missing_or_unparseable
3734,Amanita muscaria,e4-46-0,NA,year_missing_or_unparseable
3748,Amanita muscaria,e2-28-0,NA,year_missing_or_unparseable
3749,Amanita muscaria,c3-53-0,NA,year_missing_or_unparseable
3750,Amanita muscaria,d2-26-10,NA,year_missing_or_unparseable
3751,Amanita muscaria,d2-27-0,NA,year_missing_or_unparseable
3752,Amanita muscaria,d3-42-0,NA,year_missing_or_unparseable
3811,Amanita muscaria,j5-57-14,NA,year_missing_or_unparseable
3812,Amanita muscaria,j6-54-31,NA,year_missing_or_unparseable
3813,Amanita muscaria,j6-54-10,NA,year_missing_or_unparseable
3918,Amanita muscaria,j6-41-30,NA,year_missing_or_unparseable
3919,Amanita muscaria,j5-57-42,NA,year_missing_or_unparseable
3920,Amanita muscaria,j5-58-14,NA,year_missing_or_unparseable
3921,Amanita muscaria,j5-57-0,NA,year_missing_or_unparseable
3922,Amanita muscaria,j6-47-43,NA,year_missing_or_unparseable
4534,Amanita pantherina,e2-47-0,NA,year_missing_or_unparseable
4535,Amanita pantherina,e3-54-30,NA,year_missing_or_unparseable
4536,Amanita pantherina,e3-12-0,NA,year_missing_or_unparseable
4537,Amanita pantherina,d3-33-43,NA,year_missing_or_unparseable
4538,Amanita pantherina,d2-16-14,NA,year_missing_or_unparseable
4539,Amanita pantherina,d2-38-0,NA,year_missing_or_unparseable
4540,Amanita pantherina,d6-31-0,NA,year_missing_or_unparseable
4585,Amanita pantherina,e4-46-0,NA,year_missing_or_unparseable
4593,Amanita pantherina,d3-43-0,NA,year_missing_or_unparseable
4606,Amanita pantherina,j6-33-21,NA,year_missing_or_unparseable
4849,Amanita phalloides,e5-34-0,NA,year_missing_or_unparseable
4850,Amanita phalloides,d5-56-0,NA,year_missing_or_unparseable
4851,Amanita phalloides,e5-12-0,NA,year_missing_or_unparseable
4926,Amanita phalloides,d6-41-0,NA,year_missing_or_unparseable
4976,Amanita phalloides,d3-33-0,NA,year_missing_or_unparseable
4977,Amanita phalloides,d3-34-0,NA,year_missing_or_unparseable
5008,Amanita phalloides,j5-58-31,NA,year_missing_or_unparseable
5009,Amanita phalloides,j6-54-10,NA,year_missing_or_unparseable
5010,Amanita phalloides,j6-34-12,NA,year_missing_or_unparseable
5011,Amanita phalloides,j6-15-32,NA,year_missing_or_unparseable
5012,Amanita phalloides,j6-34-32,NA,year_missing_or_unparseable
5013,Amanita phalloides,j6-25-30,NA,year_missing_or_unparseable
5014,Amanita phalloides,j6-33-21,NA,year_missing_or_unparseable
5015,Amanita phalloides,j6-15-10,NA,year_missing_or_unparseable
5085,Amanita phalloides,j6-34-0,NA,year_missing_or_unparseable
5201,Amanita phalloides,j5-58-14,NA,year_missing_or_unparseable
5221,Amanita porphyria,e5-43-0,NA,year_missing_or_unparseable
5236,Amanita porphyria,c5-13-24,NA,year_missing_or_unparseable
5249,Amanita porphyria,e4-38-0,NA,year_missing_or_unparseable
5254,Amanita porphyria,c2-45-0,NA,year_missing_or_unparseable
5255,Amanita porphyria,c2-46-0,NA,year_missing_or_unparseable
5280,Amanita porphyria,j6-52-10,NA,year_missing_or_unparseable
5281,Amanita porphyria,j5-58-14,NA,year_missing_or_unparseable
5285,Amanita porphyria,e5-23-0,NA,year_missing_or_unparseable
5559,Amanita rubescens,e5-13-34,NA,year_missing_or_unparseable
5560,Amanita rubescens,e5-13-42,NA,year_missing_or_unparseable
5561,Amanita rubescens,e5-13-21,NA,year_missing_or_unparseable
5563,Amanita rubescens,e5-13-12,NA,year_missing_or_unparseable
5564,Amanita rubescens,d5-45-31,NA,year_missing_or_unparseable
5756,Amanita rubescens,d3-24-0,NA,year_missing_or_unparseable
5760,Amanita rubescens,b5-36-31,NA,year_missing_or_unparseable
5780,Amanita rubescens,c2-43-40,NA,year_missing_or_unparseable
5835,Amanita rubescens,j6-41-30,NA,year_missing_or_unparseable
5836,Amanita rubescens,j5-58-31,NA,year_missing_or_unparseable
5839,Amanita rubescens,j6-54-31,NA,year_missing_or_unparseable
5840,Amanita rubescens,j6-54-10,NA,year_missing_or_unparseable
5841,Amanita rubescens,h6-53-40,NA,year_missing_or_unparseable
5842,Amanita rubescens,j6-44-30,NA,year_missing_or_unparseable
