species_original,species_accepted,n_records
Russula ochroleuca,Russula ochroleuca,3833
Lactarius quietus,Lactarius quietus,3603
Lactarius tabidus,Lactarius tabidus,3365
Russula nigricans,Russula nigricans,2306
Russula atropurpurea,Russula atropurpurea,2228
Russula amoenolens,Russula amoenolens,2025
Russula cyanoxantha,Russula cyanoxantha,2019
Russula parazurea,Russula parazurea,1888
Lactarius necator,Lactarius necator,1878
Russula fragilis,Russula fragilis,1859
Russula grisea,Russula grisea,1677
Russula vesca,Russula vesca,1624
Paxillus involutus,Paxillus involutus,1567
Scleroderma citrinum,Scleroderma citrinum,1567
Amanita rubescens,Amanita rubescens,1542
Lactarius rufus,Lactarius rufus,1526
Russula velenovskyi,Russula velenovskyi,1465
Lactarius camphoratus,Lactarius camphoratus,1463
Lactarius blennius,Lactarius blennius,1313
Russula nitida,Russula nitida,1225
Russula emetica,Russula emetica,1212
Russula pectinatoides,Russula pectinatoides,1198
Phallus impudicus,Phallus impudicus,1195
Russula fellea,Russula fellea,1162
Russula betularum,Russula betularum,1156
Amanita muscaria,Amanita muscaria,1153
Helvella crispa,Helvella crispa,1050
Lycoperdon perlatum,Lycoperdon perlatum,1040
Lactarius subdulcis,Lactarius subdulcis,1033
Gymnopus dryophilus,Gymnopus dryophilus,994
Amanita citrina,Amanita citrina,991
Lactarius glyciosmus,Lactarius glyciosmus,969
Russula risigallina,Russula risigallina,950
Amanita fulva,Amanita fulva,926
Collybiopsis peronata,Collybiopsis peronata,918
Marasmius oreades,Marasmius oreades,915
Gymnopus dryophilus s.s.,Gymnopus dryophilus s.s.,907
Russula mairei,Russula mairei,902
Russula silvestris,Russula silvestris,897
Scleroderma areolatum,Scleroderma areolatum,888
Lactarius hepaticus,Lactarius hepaticus,885
Helvella lacunosa,Helvella lacunosa,855
Russula puellaris,Russula puellaris,851
Calvatia excipuliformis,Calvatia excipuliformis,848
Russula claroflava,Russula claroflava,823
Russula densifolia,Russula densifolia,822
Collybiopsis ramealis,Collybiopsis ramealis,784
Lactarius pubescens,Lactarius pubescens,773
Pleurotus ostreatus,Pleurotus ostreatus,749
Boletus edulis,Boletus edulis,744
Collybiopsis confluens,Collybiopsis confluens,712
Russula xerampelina,Russula xerampelina,708
Russula aeruginea,Russula aeruginea,680
Leccinum scabrum,Leccinum scabrum,679
Marasmius rotula,Marasmius rotula,651
Russula brunneoviolacea,Russula brunneoviolacea,626
Neoboletus erythropus,Neoboletus erythropus,605
Russula sardonia,Russula sardonia,597
Lactarius vietus,Lactarius vietus,595
Apioperdon pyriforme,Apioperdon pyriforme,594
Collybiopsis vaillantii,Collybiopsis vaillantii,591
Lactarius chrysorrheus,Lactarius chrysorrheus,591
Russula ionochlora,Russula ionochlora,587
Gymnopus androsaceus,Gymnopus androsaceus,584
Russula violeipes,Russula violeipes,583
Hygrophoropsis aurantiaca,Hygrophoropsis aurantiaca,577
Lactifluus vellereus,Lactifluus vellereus,572
Russula exalbicans,Russula exalbicans,571
