Genus	Soortnaam	Species	validatie	Uurhok	Kwartier	Datum	Waarnemer	Determinator	Substraat	Wetnaam	Eco1Groep	Eco2Groep	terreinifbl_id
Amanita	argentea Huijsman	Amanita argentea	v	E6.18	44	2017-09-01	Boeykens Ronny	Boeykens Ronny			Ectomycorrhizavormer		4943
Amanita	argentea Huijsman	Amanita argentea	v	D6.55	41	2016-09-01	Mycolim	Boeykens Ronny	op de grond onder:	Loofbomen en -struiken	Ectomycorrhizavormer		4341
Amanita	argentea Huijsman	Amanita argentea	v	C6.24	42	2012-09-01	Mycolim	Boeykens Ronny			Ectomycorrhizavormer		4305
Amanita	argentea Huijsman	Amanita argentea		J5.26	22	2002-09-21	Volders Jos				Ectomycorrhizavormer		1707
Amanita	battarae (Boud.) Bon	Amanita battarae	o	J6.34	12	2004-09-19	Ghyselinck Daniel				Ectomycorrhizavormer		134
Amanita	battarae (Boud.) Bon	Amanita battarae	o	J5.42	11	2004-06-20	Ghyselinck Daniel				Ectomycorrhizavormer		3436
Amanita	battarae (Boud.) Bon	Amanita battarae		J5.16	22	2003-09-24	AMK				Ectomycorrhizavormer		1200
Amanita	battarae (Boud.) Bon	Amanita battarae		E1.34	32	2001-11-01	AMK				Ectomycorrhizavormer		2184
Amanita	battarae (Boud.) Bon	Amanita battarae		J4.37	22	2001-09-19	AMK				Ectomycorrhizavormer		1210
Amanita	battarae (Boud.) Bon	Amanita battarae		H5.27	31	2006-09-17	AMK				Ectomycorrhizavormer		5535
Amanita	battarae (Boud.) Bon	Amanita battarae		J4.27	44	2006-09-18	AMK				Ectomycorrhizavormer		812
Amanita	battarae (Boud.) Bon	Amanita battarae		H5.55	0	2006-09-20	AMK				Ectomycorrhizavormer		6660
Amanita	battarae (Boud.) Bon	Amanita battarae		J5.14	32	2006-09-22	AMK				Ectomycorrhizavormer		4947
Amanita	battarae (Boud.) Bon	Amanita battarae	o	D6.35	42	2011-09-10	Mycolim	Lenaerts Luc			Ectomycorrhizavormer		5708
Amanita	betulae Neville & Poumarat	Amanita betulae	v	D6.35	42	2020-09-03	Mycolim	Boeykens Ronny	op de grond onder:	Loofbomen en -struiken			5708
Amanita	betulae Neville & Poumarat	Amanita betulae	v	D6.42	23	2013-11-21	Mycolim	Boeykens Ronny					11255
Amanita	caesarea (Scop.: Fr.) Pers.	Amanita caesarea		J4.46	22	1995-10-04	Marchal A.				Ectomycorrhizavormer		127
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	C2.53	41	2021-10-31	De Wispelaere Germain				Ectomycorrhizavormer		265
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	F5.21	42	2019-09-29	AMK & CMB				Ectomycorrhizavormer		12539
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	J6.56	0	2004-10-03	Ghyselinck Daniel				Ectomycorrhizavormer		12483
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	J6.34	12	2004-09-19	Ghyselinck Daniel				Ectomycorrhizavormer		134
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	C6.21	22	2019-10-13	Volders Jos				Ectomycorrhizavormer		3804
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	D2.25	22	2017-10-04	Paddenstoelenwerkgroep Meetjesland		op de grond onder:	Quercus robur	Ectomycorrhizavormer		3698
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	D5.28	41	2017-08-02	Volders Jos				Ectomycorrhizavormer		174
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	D2.13	21	2016-11-08	Paddenstoelenwerkgroep Meetjesland		op de grond onder:	Quercus robur	Ectomycorrhizavormer		5463
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	C2.11	23	2015-09-19	OVMW		op de grond onder:	Loofbomen en -struiken	Ectomycorrhizavormer		778
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	E3.43	33	2014-10-18	OVMW				Ectomycorrhizavormer		11479
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	D2.16	41	2014-10-25	OVMW		op de grond onder:	Loofbomen en -struiken	Ectomycorrhizavormer		11455
Amanita	citrina (Schaeff.->) Pers.	Amanita citrina	v	C4.18	11	2014-10-27	Werts Jean	Werts Jean	op de grond		Ectomycorrhizavormer		4095
