"";"IFBL";"IFBLuurhok";"Xcoord";"Ycoord";"REGIO";"DISTRICT";"area";"max"
"1";"C05611";"c0-56-11";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"2";"C05612";"c0-56-12";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"3";"C05613";"c0-56-13";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"4";"C05614";"c0-56-14";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"5";"C05621";"c0-56-21";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"6";"C05622";"c0-56-22";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"7";"C05623";"c0-56-23";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"8";"C05624";"c0-56-24";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"9";"C05631";"c0-56-31";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"10";"C05632";"c0-56-32";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"11";"C05633";"c0-56-33";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"12";"C05634";"c0-56-34";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"13";"C05641";"c0-56-41";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"14";"C05642";"c0-56-42";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"15";"C05643";"c0-56-43";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"16";"C05644";"c0-56-44";24012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";447159,843504937;"y"
"17";"C05711";"c0-57-11";28012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";573938,584732875;"y"
"18";"C05712";"c0-57-12";28012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";573938,584732875;"y"
"19";"C05713";"c0-57-13";28012;200180;"Ecoregio van de kustduinen";"Kustduinendistrict";573938,584732875;"y"
