IFBL;IFBLuurhok;Xcoord;Ycoord;REGIO;DISTRICT;area;max
C056;c0-56;24012.000000;200180.000000;Ecoregio van de kustduinen;Kustduinendistrict;7154557.496079;y
C057;c0-57;28012.000000;200180.000000;Ecoregio van de kustduinen;Kustduinendistrict;9183017.355726;y
C047;c0-47;28012.000000;204180.000000;Ecoregio van de kustduinen;Kustduinendistrict;1716137.776762;y
C048;c0-48;32012.000000;204180.000000;Ecoregio van de kustduinen;Kustduinendistrict;8824173.834634;y
C131;c1-31;36012.000000;208180.000000;Ecoregio van de kustduinen;Kustduinendistrict;1723252.812917;y
C122;c1-22;40012.000000;212180.000000;Ecoregio van de kustduinen;Kustduinendistrict;10258.027653;y
B156;b1-56;56012.000000;220180.000000;Ecoregio van de kustduinen;Kustduinendistrict;3667466.830310;y
B231;b2-31;68012.000000;228180.000000;Ecoregio van de kustduinen;Kustduinendistrict;285812.764358;y
B232;b2-32;72012.000000;228180.000000;Ecoregio van de kustduinen;Kustduinendistrict;1514232.897160;y
B233;b2-33;76012.000000;228180.000000;Ecoregio van de kustduinen;Kustduinendistrict;7244286.078379;y
D141;d1-41;36012.000000;184180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;12243983.527996;y
D142;d1-42;40012.000000;184180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;11783570.367329;y
D036;d0-36;24012.000000;188180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;2231514.204297;y
D131;d1-31;36012.000000;188180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;12363810.273965;y
D132;d1-32;40012.000000;188180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15886509.710215;y
D133;d1-33;44012.000000;188180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;8651129.666288;y
D026;d0-26;24012.000000;192180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;8078323.489030;y
D027;d0-27;28012.000000;192180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;11463293.468693;y
