IFBL;ifbluurhok;Xcoord;Ycoord
A456;a4-56;152012.000000;240180.000000
A457;a4-57;156012.000000;240180.000000
A458;a4-58;160012.000000;240180.000000
A544;a5-44;176012.000000;244180.000000
A545;a5-45;180012.000000;244180.000000
A551;a5-51;164012.000000;240180.000000
A553;a5-53;172012.000000;240180.000000
A554;a5-54;176012.000000;240180.000000
A555;a5-55;180012.000000;240180.000000
A556;a5-56;184012.000000;240180.000000
A557;a5-57;188012.000000;240180.000000
A558;a5-58;192012.000000;240180.000000
A641;a6-41;196012.000000;244180.000000
A651;a6-51;196012.000000;240180.000000
A652;a6-52;200012.000000;240180.000000
B147;b1-47;60012.000000;224180.000000
B148;b1-48;64012.000000;224180.000000
B156;b1-56;56012.000000;220180.000000
B157;b1-57;60012.000000;220180.000000
B158;b1-58;64012.000000;220180.000000
B231;b2-31;68012.000000;228180.000000
B232;b2-32;72012.000000;228180.000000
B233;b2-33;76012.000000;228180.000000
B234;b2-34;80012.000000;228180.000000
B241;b2-41;68012.000000;224180.000000
B242;b2-42;72012.000000;224180.000000
B243;b2-43;76012.000000;224180.000000
B244;b2-44;80012.000000;224180.000000
B251;b2-51;68012.000000;220180.000000
B252;b2-52;72012.000000;220180.000000
B253;b2-53;76012.000000;220180.000000
B254;b2-54;80012.000000;220180.000000
B257;b2-57;92012.000000;220180.000000
B258;b2-58;96012.000000;220180.000000
B351;b3-51;100012.000000;220180.000000
B352;b3-52;104012.000000;220180.000000
B416;b4-16;152012.000000;236180.000000
B417;b4-17;156012.000000;236180.000000
B418;b4-18;160012.000000;236180.000000
B426;b4-26;152012.000000;232180.000000
B427;b4-27;156012.000000;232180.000000
B428;b4-28;160012.000000;232180.000000
B433;b4-33;140012.000000;228180.000000
B434;b4-34;144012.000000;228180.000000
B435;b4-35;148012.000000;228180.000000
B436;b4-36;152012.000000;228180.000000
B437;b4-37;156012.000000;228180.000000
B438;b4-38;160012.000000;228180.000000
B442;b4-42;136012.000000;224180.000000
B443;b4-43;140012.000000;224180.000000
B444;b4-44;144012.000000;224180.000000
B445;b4-45;148012.000000;224180.000000
B446;b4-46;152012.000000;224180.000000
B447;b4-47;156012.000000;224180.000000
B448;b4-48;160012.000000;224180.000000
B451;b4-51;132012.000000;220180.000000
B452;b4-52;136012.000000;220180.000000
B453;b4-53;140012.000000;220180.000000
B454;b4-54;144012.000000;220180.000000
B455;b4-55;148012.000000;220180.000000
B456;b4-56;152012.000000;220180.000000
B457;b4-57;156012.000000;220180.000000
B458;b4-58;160012.000000;220180.000000
B511;b5-11;164012.000000;236180.000000
B512;b5-12;168012.000000;236180.000000
B513;b5-13;172012.000000;236180.000000
B514;b5-14;176012.000000;236180.000000
B515;b5-15;180012.000000;236180.000000
B516;b5-16;184012.000000;236180.000000
B517;b5-17;188012.000000;236180.000000
B518;b5-18;192012.000000;236180.000000
B521;b5-21;164012.000000;232180.000000
B522;b5-22;168012.000000;232180.000000
B523;b5-23;172012.000000;232180.000000
B524;b5-24;176012.000000;232180.000000
B525;b5-25;180012.000000;232180.000000
B526;b5-26;184012.000000;232180.000000
B527;b5-27;188012.000000;232180.000000
B528;b5-28;192012.000000;232180.000000
B531;b5-31;164012.000000;228180.000000
B532;b5-32;168012.000000;228180.000000
B533;b5-33;172012.000000;228180.000000
